"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ENSMUSG00000005980"	7910.41694438814	71.8639514526387	15748.9699373236	219.149790944948	7.77577349239805	1.42653203405459e-44	4.39200682644727e-40
"ENSMUSG00000032484"	1253.61070680914	2494.8577583869	12.3636552313779	0.00495565536344319	-7.65670842461293	3.31907228726731e-36	5.1093798790193e-32
"ENSMUSG00000054932"	62988.232700076	125829.19333819	147.272061961867	0.00117041250964746	-9.73876719012268	2.04793614092551e-34	2.10172859689382e-30
"ENSMUSG00000032517"	1285.82196265882	20.9081375750941	2550.73578774254	121.99727396002	6.93070510077354	3.80508270157311e-34	2.92877215540082e-30
"ENSMUSG00000071561"	2442.35089513717	4866.66091565656	18.0408746177731	0.00370703341170406	-8.07551916635354	3.11969733906456e-29	1.92098483350239e-25
"ENSMUSG00000026418"	3252.40195485869	6369.28974409121	135.514165626177	0.0212761816577577	-5.55461692980495	2.49313575670965e-28	1.27931106129295e-24
"ENSMUSG00000032496"	608.433693369969	1205.32656061463	11.54082612531	0.00957485423653569	-6.70653376042635	6.21291685700151e-28	2.73261834561947e-24
"ENSMUSG00000026417"	8506.17433419474	381.926946469235	16630.4217219202	43.5434626324797	5.4443842319513	1.76088940958318e-27	6.77678289278087e-24
"ENSMUSG00000028017"	5129.16961532981	213.627745372103	10044.7114852875	47.0196952544312	5.55519328346686	9.47132244012039e-27	3.24003416984918e-23
"ENSMUSG00000056569"	2684.90738547607	5225.95790194866	143.856869003475	0.0275273685135952	-5.18298948808103	3.45435209263846e-26	1.06352592228153e-22
"ENSMUSG00000056054"	4317.99972668745	8518.63527002303	117.364183351875	0.0137773457404472	-6.1815582158061	1.24172927581041e-25	3.47548735851373e-22
"ENSMUSG00000032081"	18345.7144377557	1064.00494813422	35627.4239273771	33.4842652657317	5.06541140669987	5.46746123685176e-25	1.40276830466827e-21
"ENSMUSG00000016327"	2175.05103753686	4320.19950112381	29.9025739499023	0.00692157247417016	-7.17468445157289	1.88842425782192e-24	4.4723696961401e-21
"ENSMUSG00000038357"	884.743371338499	1746.77256047133	22.7141822056709	0.0130035144355267	-6.26495459933026	4.67489247051321e-24	1.028075638444e-20
"ENSMUSG00000076439"	369.676145305879	11.9722710359485	727.38001957581	60.7553919713096	5.92494054681683	8.46966321400707e-24	1.73842660688566e-20
"ENSMUSG00000059657"	287.504453182814	572.581711225464	2.42719514016368	0.00423903714103773	-7.88204767779816	9.04165595675592e-24	1.73984064747876e-20
"ENSMUSG00000039196"	1449.28382387052	78.5253215515926	2820.04232618945	35.9125218524146	5.1664150605111	1.08170459552702e-23	1.95903065218152e-20
"ENSMUSG00000056487"	2543.29843720312	173.90212667396	4912.69474773228	28.2497680833015	4.82016711864725	2.73452214975932e-23	4.67724821926611e-20
"ENSMUSG00000022025"	942.827223970494	1842.01683691626	43.6376110247266	0.0236901260347765	-5.39957031583721	2.85965376885528e-22	4.40215101177581e-19
"ENSMUSG00000051839"	1046.57954442669	2026.84328314093	66.3158057124474	0.0327187633420183	-4.9337379694307	2.8186023529799e-22	4.40215101177581e-19
"ENSMUSG00000045136"	16807.4784031763	32211.3489478368	1403.60785851575	0.0435749480963608	-4.52035724386708	4.62086933084069e-21	6.77463452180587e-18
"ENSMUSG00000024070"	5450.81871191553	482.219270574577	10419.4181532565	21.6072205924941	4.43344160043446	6.3922450363286e-21	8.94565637174932e-18
"ENSMUSG00000039653"	1463.14196552275	103.809105055806	2822.4748259897	27.1890873586896	4.76495582090284	1.68387161377071e-20	2.25404518455533e-17
"ENSMUSG00000024501"	5113.20760907549	9784.08761214864	442.327606002351	0.0452088762423922	-4.46725013276099	2.84995961551564e-20	3.65602319343732e-17
"ENSMUSG00000021416"	3000.78830766642	260.697628937371	5740.87898639548	22.021216724509	4.46082227831827	3.04490345171813e-20	3.74985949885991e-17
"ENSMUSG00000079597"	617.492684679597	1232.28389785034	2.70147150885298	0.00219224767406729	-8.8333734854679	5.30210761049187e-20	6.27851111968552e-17
"ENSMUSG00000027966"	1075.91165161931	2061.97048621443	89.8528170241862	0.0435761896811369	-4.52031613761775	1.5428155917854e-19	1.75926690518107e-16
"ENSMUSG00000002769"	1729.15417790922	158.073515869923	3300.23483994851	20.8778480176543	4.38390110879427	3.60179290652211e-19	3.96042857164295e-16
"ENSMUSG00000026147"	270.624556548758	534.334997721974	6.91411537554204	0.0129396640778144	-6.27205602526981	3.35939423411497e-18	3.56651826482523e-15
"ENSMUSG00000027750"	7197.09907597487	13569.1298725318	825.068279417956	0.0608048037839298	-4.03967088384462	5.71643700618122e-18	5.86658875154358e-15
"ENSMUSG00000031285"	3052.01792356067	5730.08793148406	373.947915637278	0.0652604148677396	-3.93764803094243	5.68258594114635e-17	5.64372438567786e-14
"ENSMUSG00000024694"	21109.3066401612	2748.92654654054	39469.6867337818	14.3582180409489	3.84380480623437	6.0353394686879e-17	5.80675098631135e-14
"ENSMUSG00000048583"	2398.25679521753	4636.29333298648	160.220257448574	0.0345578344468915	-4.85484337535835	8.15335575663304e-17	7.60683384955206e-14
"ENSMUSG00000056071"	1818.16969926192	3544.71174209331	91.6276564305319	0.0258491135802263	-5.27374138139461	1.78666670821597e-16	1.57601215570051e-13
"ENSMUSG00000029510"	3375.03554038205	6289.09569614561	460.975384618491	0.0732975624621212	-3.77009096798156	1.79162093833695e-16	1.57601215570051e-13
